trial0000001, 000450, SNPR, 49, 2, 24.500000, SZIP, 1643, 14, 117.357143, 58, 195, 
trial0000002, 000450, SNPR, 98, 2, 49.000000, SZIP, 1581, 14, 112.928571, 58, N, 
trial0000003, 000450, SNPR, 41, 2, 20.500000, SZIP, 1536, 14, 109.714286, N, 57, 
trial0000004, 000450, SNPR, 95, 2, 47.500000, SZIP, 1750, 14, 125.000000, 52, 945, 
trial0000005, 000450, SNPR, 87, 2, 43.500000, SZIP, 1800, 14, 128.571429, 1, N, 
trial0000006, 000450, SNPR, 33, 2, 16.500000, SZIP, 1702, 14, 121.571429, 56, 88, 
trial0000007, 000450, SNPR, 68, 2, 34.000000, SZIP, 1690, 14, 120.714286, 54, 296, 
trial0000008, 000450, SNPR, 96, 2, 48.000000, SZIP, 1721, 14, 122.928571, 52, 150, 
trial0000009, 000450, SNPR, 65, 2, 32.500000, SZIP, 1354, 14, 96.714286, 53, 185, 
trial0000010, 000450, SNPR, 55, 2, 27.500000, SZIP, 1780, 14, 127.142857, N, 36, 
trial0000011, 000450, SNPR, 74, 2, 37.000000, SZIP, 1827, 14, 130.500000, N, N, 
trial0000012, 000450, SNPR, 28, 2, 14.000000, SZIP, 1876, 14, 134.000000, N, 44, 
trial0000013, 000450, SNPR, 90, 2, 45.000000, SZIP, 1723, 14, 123.071429, 51, 90, 
trial0000014, 000450, SNPR, 110, 2, 55.000000, SZIP, 1701, 14, 121.500000, 1, 38, 
trial0000015, 000450, SNPR, 47, 2, 23.500000, SZIP, 1908, 14, 136.285714, 52, N, 
trial0000016, 000450, SNPR, 89, 2, 44.500000, SZIP, 1667, 14, 119.071429, N, 41, 
trial0000017, 000450, SNPR, 0, 2, 0.000000, SZIP, 1940, 14, 138.571429, N, 41, 
trial0000018, 000450, SNPR, 62, 2, 31.000000, SZIP, 1586, 14, 113.285714, N, N, 
trial0000019, 000450, SNPR, 147, 2, 73.500000, SZIP, 1557, 14, 111.214286, 1, N, 
trial0000020, 000450, SNPR, 81, 2, 40.500000, SZIP, 1796, 14, 128.285714, N, N, 
trial0000021, 000450, SNPR, 114, 2, 57.000000, SZIP, 1753, 14, 125.214286, 1, 709, 
trial0000022, 000450, SNPR, 108, 2, 54.000000, SZIP, 1699, 14, 121.357143, N, 38, 
trial0000023, 000450, SNPR, 58, 2, 29.000000, SZIP, 1730, 14, 123.571429, N, 89, 
trial0000024, 000450, SNPR, 84, 2, 42.000000, SZIP, 1709, 14, 122.071429, 61, 714, 
