trial0000001, 000450, SZIP, 464, 2, 232.000000, ZIP, 3235, 14, 231.071429, 134, N, 
trial0000002, 000450, SZIP, 475, 2, 237.500000, ZIP, 3095, 14, 221.071429, N, 42, 
trial0000003, 000450, SZIP, 422, 2, 211.000000, ZIP, 3294, 14, 235.285714, 56, N, 
trial0000004, 000450, SZIP, 415, 2, 207.500000, ZIP, 3221, 14, 230.071429, 128, N, 
trial0000005, 000450, SZIP, 470, 2, 235.000000, ZIP, 3657, 14, 261.214286, 131, 926, 
trial0000006, 000450, SZIP, 605, 2, 302.500000, ZIP, 3319, 14, 237.071429, N, 66, 
trial0000007, 000450, SZIP, 485, 2, 242.500000, ZIP, 2712, 14, 193.714286, 159, N, 
trial0000008, 000450, SZIP, 602, 2, 301.000000, ZIP, 2615, 14, 186.785714, N, 34, 
trial0000009, 000450, SZIP, 441, 2, 220.500000, ZIP, 3557, 14, 254.071429, N, 87, 
trial0000010, 000450, SZIP, 658, 2, 329.000000, ZIP, 3280, 14, 234.285714, N, 44, 
trial0000011, 000450, SZIP, 479, 2, 239.500000, ZIP, 3393, 14, 242.357143, N, N, 
trial0000012, 000450, SZIP, 679, 2, 339.500000, ZIP, 3001, 14, 214.357143, 168, N, 
trial0000013, 000450, SZIP, 462, 2, 231.000000, ZIP, 3427, 14, 244.785714, N, 34, 
trial0000014, 000450, SZIP, 381, 2, 190.500000, ZIP, 3106, 14, 221.857143, N, 61, 
trial0000015, 000450, SZIP, 449, 2, 224.500000, ZIP, 3528, 14, 252.000000, N, 177, 
trial0000016, 000450, SZIP, 549, 2, 274.500000, ZIP, 3211, 14, 229.357143, N, 74, 
trial0000017, 000450, SZIP, 436, 2, 218.000000, ZIP, 3091, 14, 220.785714, 147, 161, 
trial0000018, 000450, SZIP, 498, 2, 249.000000, ZIP, 3334, 14, 238.142857, N, 90, 
trial0000019, 000450, SZIP, 401, 2, 200.500000, ZIP, 3229, 14, 230.642857, N, 721, 
trial0000020, 000450, SZIP, 501, 2, 250.500000, ZIP, 2507, 14, 179.071429, N, 45, 
trial0000021, 000450, SZIP, 537, 2, 268.500000, ZIP, 3255, 14, 232.500000, N, 161, 
trial0000022, 000450, SZIP, 609, 2, 304.500000, ZIP, 2795, 14, 199.642857, 163, N, 
trial0000023, 000450, SZIP, 456, 2, 228.000000, ZIP, 3092, 14, 220.857143, 155, N, 
trial0000024, 000450, SZIP, 396, 2, 198.000000, ZIP, 3567, 14, 254.785714, 163, N, 
trial0000025, 000450, SZIP, 423, 2, 211.500000, ZIP, 2787, 14, 199.071429, N, 41, 
trial0000026, 000450, SZIP, 304, 2, 152.000000, ZIP, 2615, 14, 186.785714, N, 63, 
trial0000027, 000450, SZIP, 639, 2, 319.500000, ZIP, 3248, 14, 232.000000, N, 68, 
trial0000028, 000450, SZIP, 725, 2, 362.500000, ZIP, 3854, 14, 275.285714, 88, 280, 
trial0000029, 000450, SZIP, 397, 2, 198.500000, ZIP, 3521, 14, 251.500000, 110, 857, 
trial0000030, 000450, SZIP, 409, 2, 204.500000, ZIP, 2961, 14, 211.500000, N, 641, 
trial0000031, 000450, SZIP, 404, 2, 202.000000, ZIP, 3234, 14, 231.000000, N, 48, 
trial0000032, 000450, SZIP, 428, 2, 214.000000, ZIP, 2909, 14, 207.785714, 132, 142, 
trial0000033, 000450, SZIP, 690, 2, 345.000000, ZIP, 3097, 14, 221.214286, 74, 652, 
trial0000034, 000450, SZIP, 320, 2, 160.000000, ZIP, 2728, 14, 194.857143, 161, 898, 
trial0000035, 000450, SZIP, 705, 2, 352.500000, ZIP, 3247, 14, 231.928571, 99, 171, 
trial0000036, 000450, SZIP, 541, 2, 270.500000, ZIP, 3321, 14, 237.214286, 108, N, 
trial0000037, 000450, SZIP, 491, 2, 245.500000, ZIP, 3201, 14, 228.642857, 164, 280, 
trial0000038, 000450, SZIP, 427, 2, 213.500000, ZIP, 2477, 14, 176.928571, 141, 146, 
trial0000039, 000450, SZIP, 549, 2, 274.500000, ZIP, 2383, 14, 170.214286, N, 37, 
trial0000040, 000450, SZIP, 565, 2, 282.500000, ZIP, 3048, 14, 217.714286, 110, N, 
trial0000041, 000450, SZIP, 527, 2, 263.500000, ZIP, 3194, 14, 228.142857, 21, 940, 
trial0000042, 000450, SZIP, 280, 2, 140.000000, ZIP, 3253, 14, 232.357143, N, N, 
trial0000043, 000450, SZIP, 562, 2, 281.000000, ZIP, 3599, 14, 257.071429, N, 201, 
trial0000044, 000450, SZIP, 226, 2, 113.000000, ZIP, 3680, 14, 262.857143, 98, 625, 
trial0000045, 000450, SZIP, 328, 2, 164.000000, ZIP, 3043, 14, 217.357143, N, 106, 
trial0000046, 000450, SZIP, 396, 2, 198.000000, ZIP, 3848, 14, 274.857143, N, N, 
trial0000047, 000450, SZIP, 652, 2, 326.000000, ZIP, 3301, 14, 235.785714, 44, 1000, 
trial0000048, 000450, SZIP, 540, 2, 270.000000, ZIP, 3531, 14, 252.214286, 120, 143, 
trial0000049, 000450, SZIP, 425, 2, 212.500000, ZIP, 3311, 14, 236.500000, N, N, 
trial0000050, 000450, SZIP, 409, 2, 204.500000, ZIP, 3481, 14, 248.642857, N, 43, 
trial0000001, 000450, SZIP, 1163, 4, 290.750000, ZIP, 3180, 12, 265.000000, 117, 225, 
trial0000002, 000450, SZIP, 839, 4, 209.750000, ZIP, 2636, 12, 219.666667, N, N, 
trial0000003, 000450, SZIP, 833, 4, 208.250000, ZIP, 2867, 12, 238.916667, 167, 706, 
trial0000004, 000450, SZIP, 1109, 4, 277.250000, ZIP, 3022, 12, 251.833333, 164, N, 
trial0000005, 000450, SZIP, 1306, 4, 326.500000, ZIP, 2503, 12, 208.583333, N, 188, 
trial0000006, 000450, SZIP, 935, 4, 233.750000, ZIP, 3448, 12, 287.333333, 155, 198, 
trial0000007, 000450, SZIP, 1038, 4, 259.500000, ZIP, 3014, 12, 251.166667, N, N, 
trial0000008, 000450, SZIP, 841, 4, 210.250000, ZIP, 2817, 12, 234.750000, N, N, 
trial0000009, 000450, SZIP, 1099, 4, 274.750000, ZIP, 3052, 12, 254.333333, 150, 179, 
trial0000010, 000450, SZIP, 1078, 4, 269.500000, ZIP, 2867, 12, 238.916667, N, 95, 
trial0000011, 000450, SZIP, 985, 4, 246.250000, ZIP, 3024, 12, 252.000000, 97, 192, 
