trial0000001, 000450, SNPR, 232, 2, 116.000000, ZIP, 3470, 14, 247.857143, N, N, 
trial0000002, 000450, SNPR, 209, 2, 104.500000, ZIP, 3721, 14, 265.785714, 154, 219, 
trial0000003, 000450, SNPR, 199, 2, 99.500000, ZIP, 3001, 14, 214.357143, N, 54, 
trial0000004, 000450, SNPR, 262, 2, 131.000000, ZIP, 3185, 14, 227.500000, 146, 387, 
trial0000005, 000450, SNPR, 277, 2, 138.500000, ZIP, 3110, 14, 222.142857, 108, 909, 
trial0000006, 000450, SNPR, 308, 2, 154.000000, ZIP, 2785, 14, 198.928571, 1, 58, 
trial0000007, 000450, SNPR, 209, 2, 104.500000, ZIP, 3429, 14, 244.928571, N, 35, 
trial0000008, 000450, SNPR, 216, 2, 108.000000, ZIP, 3354, 14, 239.571429, 162, 192, 
trial0000009, 000450, SNPR, 327, 2, 163.500000, ZIP, 3401, 14, 242.928571, N, 37, 
trial0000010, 000450, SNPR, 251, 2, 125.500000, ZIP, 3668, 14, 262.000000, 78, 951, 
trial0000011, 000450, SNPR, 259, 2, 129.500000, ZIP, 2654, 14, 189.571429, 158, 224, 
trial0000012, 000450, SNPR, 287, 2, 143.500000, ZIP, 3849, 14, 274.928571, N, 875, 
trial0000013, 000450, SNPR, 294, 2, 147.000000, ZIP, 3253, 14, 232.357143, N, 53, 
trial0000014, 000450, SNPR, 159, 2, 79.500000, ZIP, 3396, 14, 242.571429, N, 879, 
trial0000015, 000450, SNPR, 280, 2, 140.000000, ZIP, 3426, 14, 244.714286, N, 79, 
trial0000016, 000450, SNPR, 213, 2, 106.500000, ZIP, 3531, 14, 252.214286, 70, N, 
trial0000017, 000450, SNPR, 327, 2, 163.500000, ZIP, 2635, 14, 188.214286, N, 269, 
trial0000018, 000450, SNPR, 241, 2, 120.500000, ZIP, 3256, 14, 232.571429, 94, 154, 
trial0000019, 000450, SNPR, 265, 2, 132.500000, ZIP, 3333, 14, 238.071429, N, 96, 
trial0000020, 000450, SNPR, 202, 2, 101.000000, ZIP, 2954, 14, 211.000000, 164, 1000, 
trial0000021, 000450, SNPR, 354, 2, 177.000000, ZIP, 3380, 14, 241.428571, N, N, 
trial0000022, 000450, SNPR, 328, 2, 164.000000, ZIP, 3456, 14, 246.857143, 56, N, 
trial0000023, 000450, SNPR, 237, 2, 118.500000, ZIP, 2932, 14, 209.428571, 161, 218, 
trial0000024, 000450, SNPR, 235, 2, 117.500000, ZIP, 3669, 14, 262.071429, N, N, 
trial0000025, 000450, SNPR, 295, 2, 147.500000, ZIP, 3957, 14, 282.642857, N, 264, 
trial0000026, 000450, SNPR, 143, 2, 71.500000, ZIP, 3875, 14, 276.785714, N, N, 
